AILI(sub, obj, type, content, context, time)
Thought(987, 995, Positive, I think I like 995, null, 0)
Thought(989, 991, Positive, I think I like 991, null, 0)
Thought(991, 987, Positive, I think I like 987, null, 0)
Thought(993, 995, Positive, I think I like 995, null, 0)
Thought(995, 989, Positive, I think I like 989, null, 0)
Speech(989, 993, Positive, Nice to meet you!, null, 14)
Speech(989, 993, Positive, This is fun!, null, 14)
Speech(991, 989, Positive, Nice to meet you!, null, 22)
Speech(991, 989, Positive, This is fun!, null, 22)
Speech(993, 989, Positive, This is fun!, null, 93)
Speech(993, 991, Positive, Nice to meet you!, null, 186)
Speech(993, 991, Positive, This is fun!, null, 186)
Speech(987, 993, Positive, Nice to meet you!, null, 309)
Speech(987, 993, Positive, This is fun!, null, 309)
Speech(987, 989, Positive, Nice to meet you!, null, 336)
Speech(987, 989, Negative, Not so fun ..., null, 336)
Speech(989, 993, Positive, This is fun!, null, 358)
Speech(993, 989, Negative, Not so fun ..., null, 359)
Speech(987, 989, Negative, Not so fun ..., null, 362)
Speech(995, 993, Positive, Nice to meet you!, null, 379)
Speech(995, 993, Positive, This is fun!, null, 379)
Speech(989, 993, Positive, This is fun!, null, 389)
Speech(993, 989, Positive, This is fun!, null, 392)
Speech(987, 989, Positive, This is fun!, null, 405)
Speech(993, 995, Positive, This is fun!, null, 414)
Speech(995, 989, Positive, Nice to meet you!, null, 435)
Speech(995, 989, Positive, This is fun!, null, 435)
Speech(987, 993, Positive, This is fun!, null, 479)
Speech(989, 995, Positive, This is fun!, null, 483)
Speech(987, 995, Positive, Nice to meet you!, null, 485)
Speech(987, 995, Positive, This is fun!, null, 485)
Speech(989, 987, Negative, Not so fun ..., null, 492)
Speech(995, 989, Positive, This is fun!, null, 547)
Speech(993, 991, Positive, This is fun!, null, 562)
Speech(991, 993, Positive, This is fun!, null, 650)
Speech(987, 993, Positive, This is fun!, null, 665)
Speech(989, 993, Positive, This is fun!, null, 697)
Speech(989, 993, Positive, This is fun!, null, 699)
Speech(989, 993, Proposal, Will you come to the prom with me!, null, 699)
Thought(993, 989, Conflict, Should I go to the Prom with 989? I really want to go with 995, null, 699)
Speech(993, 989, Rejection, I'm Sorry 989, I don't want to go to the Prom with you., null, 699)
Speech(993, 991, Positive, This is fun!, null, 703)
Speech(993, 991, Negative, Not so fun ..., null, 730)
Speech(993, 987, Positive, This is fun!, null, 765)
Speech(995, 993, Positive, This is fun!, null, 765)
Speech(995, 989, Negative, Not so fun ..., null, 791)
Speech(987, 993, Positive, This is fun!, null, 793)
Speech(995, 989, Negative, Not so fun ..., null, 868)
Speech(995, 989, Positive, This is fun!, null, 934)
Speech(989, 995, Positive, This is fun!, null, 956)
Speech(995, 989, Positive, This is fun!, null, 964)
Speech(993, 987, Positive, This is fun!, null, 979)
Speech(993, 987, Proposal, Will you come to the prom with me!, null, 979)
Thought(987, 993, Conflict, Should I go to the Prom with 993? I really want to go with 995, null, 979)
Speech(987, 993, Rejection, I'm Sorry 993, I don't want to go to the Prom with you., null, 979)
Speech(987, 993, Proposal, Will you come to the prom with me!, null, 980)
Thought(993, 987, Conflict, Should I go to the Prom with 987? I really want to go with 995, null, 980)
Speech(993, 987, Accept, Yes 987! I'd love to go to the Prom with you!, null, 980)
Speech(995, 989, Positive, This is fun!, null, 998)
Speech(993, 987, Positive, This is fun!, null, 1020)
Speech(993, 987, Positive, This is fun!, null, 1087)
Speech(991, 993, Positive, This is fun!, null, 1097)
Speech(991, 987, Positive, Nice to meet you!, null, 1102)
Speech(991, 987, Positive, This is fun!, null, 1102)
Speech(989, 991, Positive, This is fun!, null, 1238)
Speech(989, 991, Negative, Not so fun ..., null, 1242)
Speech(991, 993, Positive, This is fun!, null, 1251)
Speech(993, 991, Negative, Not so fun ..., null, 1306)
Speech(991, 993, Positive, This is fun!, null, 1316)
Speech(991, 989, Positive, This is fun!, null, 1326)
Speech(991, 993, Positive, This is fun!, null, 1349)
Speech(991, 989, Positive, This is fun!, null, 1353)
Speech(991, 989, Positive, This is fun!, null, 1371)
Speech(991, 989, Negative, Not so fun ..., null, 1391)
Speech(993, 989, Positive, This is fun!, null, 1403)
Speech(991, 989, Positive, This is fun!, null, 1410)
Speech(991, 993, Positive, This is fun!, null, 1413)
Speech(989, 991, Positive, This is fun!, null, 1451)
Speech(991, 989, Positive, This is fun!, null, 1479)
Speech(991, 989, Proposal, Will you come to the prom with me!, null, 1479)
Speech(989, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 1479)
Speech(989, 993, Positive, This is fun!, null, 1493)
Speech(995, 987, Positive, This is fun!, null, 1638)
Speech(995, 993, Positive, This is fun!, null, 1643)
Speech(989, 995, Positive, This is fun!, null, 1644)
Speech(995, 987, Positive, This is fun!, null, 1666)
Speech(995, 987, Positive, This is fun!, null, 1667)
Speech(993, 995, Positive, This is fun!, null, 1670)
Speech(993, 995, Positive, This is fun!, null, 1675)
Speech(989, 995, Positive, This is fun!, null, 1677)
Speech(989, 993, Negative, Not so fun ..., null, 1686)
Speech(989, 993, Positive, This is fun!, null, 1688)
Speech(989, 993, Negative, Not so fun ..., null, 1713)
Speech(993, 989, Positive, This is fun!, null, 1717)
