AILI(sub, obj, type, content, context, time)
Thought(987, 993, Positive, I think I like 993, null, 0)
Thought(989, 991, Positive, I think I like 991, null, 0)
Thought(991, 989, Positive, I think I like 989, null, 0)
Thought(993, 991, Positive, I think I like 991, null, 0)
Thought(995, 987, Positive, I think I like 987, null, 0)
Speech(989, 993, Positive, Nice to meet you!, null, 5)
Speech(989, 993, Negative, Not so fun ..., null, 5)
Speech(987, 993, Positive, Nice to meet you!, null, 30)
Speech(987, 993, Negative, Not so fun ..., null, 30)
Speech(987, 993, Positive, This is fun!, null, 40)
Speech(987, 989, Positive, Nice to meet you!, null, 89)
Speech(987, 989, Positive, This is fun!, null, 89)
Speech(993, 987, Positive, This is fun!, null, 104)
Speech(989, 993, Positive, This is fun!, null, 117)
Speech(993, 987, Positive, This is fun!, null, 129)
Speech(993, 989, Positive, This is fun!, null, 149)
Speech(987, 993, Positive, This is fun!, null, 292)
Speech(989, 991, Positive, Nice to meet you!, null, 328)
Speech(989, 991, Positive, This is fun!, null, 328)
Speech(991, 995, Positive, Nice to meet you!, null, 328)
Speech(991, 995, Negative, Not so fun ..., null, 328)
Speech(995, 989, Positive, Nice to meet you!, null, 345)
Speech(995, 989, Positive, This is fun!, null, 345)
Speech(989, 991, Positive, This is fun!, null, 398)
Speech(991, 995, Negative, Not so fun ..., null, 417)
Speech(995, 989, Positive, This is fun!, null, 421)
Speech(991, 989, Negative, Not so fun ..., null, 436)
Speech(991, 995, Positive, This is fun!, null, 451)
Speech(987, 993, Positive, This is fun!, null, 482)
Speech(995, 993, Positive, Nice to meet you!, null, 591)
Speech(995, 993, Positive, This is fun!, null, 591)
Speech(993, 989, Positive, This is fun!, null, 606)
Speech(995, 991, Negative, Not so fun ..., null, 610)
Speech(993, 991, Positive, Nice to meet you!, null, 619)
Speech(993, 991, Positive, This is fun!, null, 619)
Speech(995, 987, Positive, Nice to meet you!, null, 661)
Speech(995, 987, Positive, This is fun!, null, 661)
Speech(993, 991, Positive, This is fun!, null, 667)
Speech(995, 991, Positive, This is fun!, null, 680)
Speech(995, 987, Positive, This is fun!, null, 700)
Speech(995, 987, Positive, This is fun!, null, 703)
Speech(989, 993, Negative, Not so fun ..., null, 705)
Speech(987, 989, Positive, This is fun!, null, 722)
Speech(987, 989, Positive, This is fun!, null, 737)
Speech(993, 991, Positive, This is fun!, null, 771)
Speech(993, 991, Positive, This is fun!, null, 774)
Speech(993, 991, Positive, This is fun!, null, 778)
Speech(987, 993, Positive, This is fun!, null, 786)
Speech(995, 989, Positive, This is fun!, null, 795)
Speech(987, 991, Positive, Nice to meet you!, null, 807)
Speech(987, 991, Positive, This is fun!, null, 807)
Speech(989, 991, Positive, This is fun!, null, 812)
Speech(993, 991, Positive, This is fun!, null, 837)
Speech(993, 991, Proposal, Will you come to the prom with me!, null, 837)
Thought(991, 993, Conflict, Should I go to the Prom with 993? I really want to go with 989, null, 837)
Speech(991, 993, Rejection, I'm Sorry 993, I don't want to go to the Prom with you., null, 837)
Speech(995, 991, Negative, Not so fun ..., null, 840)
Speech(987, 991, Positive, This is fun!, null, 841)
Speech(987, 993, Positive, This is fun!, null, 860)
Speech(987, 993, Proposal, Will you come to the prom with me!, null, 860)
Thought(993, 987, Conflict, Should I go to the Prom with 987? I really want to go with 991, null, 860)
Speech(993, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 860)
Speech(993, 987, Proposal, Will you come to the prom with me!, null, 860)
Speech(987, 993, Accept, Yes 993! I'd love to go to the Prom with you!, null, 860)
Speech(987, 993, Positive, This is fun!, null, 877)
Speech(993, 989, Negative, Not so fun ..., null, 925)
Speech(993, 991, Positive, This is fun!, null, 931)
Speech(995, 989, Positive, This is fun!, null, 937)
Speech(995, 989, Positive, This is fun!, null, 957)
Speech(989, 993, Negative, Not so fun ..., null, 963)
Speech(989, 987, Positive, This is fun!, null, 964)
Speech(995, 993, Positive, This is fun!, null, 969)
Speech(995, 993, Negative, Not so fun ..., null, 979)
Speech(989, 991, Positive, This is fun!, null, 988)
