AILI(sub, obj, type, content, context, time)
Thought(987, 995, Positive, I think I like 995, null, 0)
Thought(989, 993, Positive, I think I like 993, null, 0)
Thought(991, 987, Positive, I think I like 987, null, 0)
Thought(993, 987, Positive, I think I like 987, null, 0)
Thought(995, 987, Positive, I think I like 987, null, 0)
Speech(991, 989, Positive, Nice to meet you!, null, 27)
Speech(991, 989, Positive, This is fun!, null, 27)
Speech(993, 991, Positive, Nice to meet you!, null, 30)
Speech(993, 991, Positive, This is fun!, null, 30)
Speech(989, 993, Positive, Nice to meet you!, null, 75)
Speech(989, 993, Positive, This is fun!, null, 75)
Speech(993, 991, Positive, This is fun!, null, 75)
Speech(993, 991, Negative, Not so fun ..., null, 85)
Speech(991, 989, Positive, This is fun!, null, 88)
Speech(989, 993, Positive, This is fun!, null, 92)
Speech(991, 993, Positive, This is fun!, null, 132)
Speech(993, 991, Positive, This is fun!, null, 162)
Speech(991, 989, Negative, Not so fun ..., null, 196)
Speech(989, 995, Positive, Nice to meet you!, null, 293)
Speech(989, 995, Positive, This is fun!, null, 293)
Speech(995, 991, Positive, Nice to meet you!, null, 301)
Speech(995, 991, Positive, This is fun!, null, 301)
Speech(989, 991, Positive, This is fun!, null, 314)
Speech(989, 995, Positive, This is fun!, null, 318)
Speech(987, 995, Positive, Nice to meet you!, null, 321)
Speech(987, 995, Negative, Not so fun ..., null, 321)
Speech(989, 995, Positive, This is fun!, null, 361)
Speech(989, 995, Negative, Not so fun ..., null, 362)
Speech(995, 987, Positive, This is fun!, null, 362)
Speech(991, 989, Positive, This is fun!, null, 380)
Speech(995, 987, Negative, Not so fun ..., null, 390)
Speech(987, 995, Positive, This is fun!, null, 391)
Speech(995, 987, Negative, Not so fun ..., null, 416)
Speech(989, 987, Positive, Nice to meet you!, null, 426)
Speech(989, 987, Positive, This is fun!, null, 426)
Speech(995, 991, Positive, This is fun!, null, 442)
Speech(991, 987, Positive, Nice to meet you!, null, 456)
Speech(991, 987, Negative, Not so fun ..., null, 456)
Speech(995, 991, Negative, Not so fun ..., null, 459)
Speech(995, 987, Negative, Not so fun ..., null, 473)
Speech(987, 991, Positive, This is fun!, null, 490)
Speech(995, 991, Positive, This is fun!, null, 504)
Speech(991, 989, Positive, This is fun!, null, 540)
Speech(989, 987, Positive, This is fun!, null, 581)
Speech(991, 989, Positive, This is fun!, null, 584)
Speech(995, 989, Positive, This is fun!, null, 596)
Speech(993, 991, Positive, This is fun!, null, 623)
Speech(995, 993, Positive, Nice to meet you!, null, 641)
Speech(995, 993, Positive, This is fun!, null, 641)
Speech(995, 993, Positive, This is fun!, null, 656)
Speech(987, 989, Positive, This is fun!, null, 666)
Speech(995, 991, Positive, This is fun!, null, 677)
Speech(993, 991, Positive, This is fun!, null, 679)
Speech(991, 993, Negative, Not so fun ..., null, 694)
Speech(995, 989, Positive, This is fun!, null, 705)
Speech(993, 989, Positive, This is fun!, null, 715)
Speech(991, 993, Positive, This is fun!, null, 747)
Speech(995, 993, Negative, Not so fun ..., null, 770)
Speech(995, 989, Positive, This is fun!, null, 798)
Speech(991, 989, Positive, This is fun!, null, 857)
Speech(991, 989, Proposal, Will you come to the prom with me!, null, 857)
Thought(989, 991, Conflict, Should I go to the Prom with 991? I really want to go with 993, null, 857)
Speech(989, 991, Rejection, I'm Sorry 991, I don't want to go to the Prom with you., null, 857)
Speech(989, 991, Proposal, Will you come to the prom with me!, null, 858)
Thought(991, 989, Conflict, Should I go to the Prom with 989? I really want to go with 987, null, 858)
Speech(991, 989, Rejection, I'm Sorry 989, I don't want to go to the Prom with you., null, 858)
Speech(993, 991, Positive, This is fun!, null, 866)
Speech(993, 991, Proposal, Will you come to the prom with me!, null, 866)
Thought(991, 993, Conflict, Should I go to the Prom with 993? I really want to go with 987, null, 866)
Speech(991, 993, Rejection, I'm Sorry 993, I don't want to go to the Prom with you., null, 866)
Speech(991, 993, Proposal, Will you come to the prom with me!, null, 867)
Thought(993, 991, Conflict, Should I go to the Prom with 991? I really want to go with 987, null, 867)
Speech(993, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 867)
Speech(989, 993, Positive, This is fun!, null, 892)
Speech(991, 989, Positive, This is fun!, null, 900)
Speech(995, 989, Positive, This is fun!, null, 926)
Speech(995, 989, Proposal, Will you come to the prom with me!, null, 926)
Thought(989, 995, Conflict, Should I go to the Prom with 995? I really want to go with 993, null, 926)
Speech(989, 995, Accept, Yes 995! I'd love to go to the Prom with you!, null, 926)
Speech(991, 989, Positive, This is fun!, null, 940)
Speech(993, 989, Negative, Not so fun ..., null, 967)
Speech(995, 989, Positive, This is fun!, null, 970)
Speech(989, 993, Negative, Not so fun ..., null, 983)
Speech(991, 993, Positive, This is fun!, null, 998)
Speech(989, 991, Positive, This is fun!, null, 1037)
Speech(991, 989, Negative, Not so fun ..., null, 1053)
Speech(989, 993, Positive, This is fun!, null, 1061)
