AILI(sub, obj, type, content, context, time)
Thought(987, 989, Positive, I think I like 989, null, 0)
Thought(989, 991, Positive, I think I like 991, null, 0)
Thought(991, 989, Positive, I think I like 989, null, 0)
Thought(993, 987, Positive, I think I like 987, null, 0)
Thought(995, 993, Positive, I think I like 993, null, 0)
Speech(987, 995, Positive, Nice to meet you!, null, 27)
Speech(987, 995, Positive, This is fun!, null, 27)
Speech(987, 995, Negative, Not so fun ..., null, 38)
Speech(989, 991, Positive, Nice to meet you!, null, 54)
Speech(989, 991, Negative, Not so fun ..., null, 54)
Speech(989, 993, Positive, Nice to meet you!, null, 55)
Speech(989, 993, Positive, This is fun!, null, 55)
Speech(987, 995, Negative, Not so fun ..., null, 160)
Speech(993, 989, Positive, This is fun!, null, 160)
Speech(989, 991, Positive, This is fun!, null, 173)
Speech(993, 991, Positive, Nice to meet you!, null, 199)
Speech(993, 991, Positive, This is fun!, null, 199)
Speech(995, 989, Positive, Nice to meet you!, null, 342)
Speech(995, 989, Positive, This is fun!, null, 342)
Speech(991, 995, Positive, Nice to meet you!, null, 345)
Speech(991, 995, Positive, This is fun!, null, 345)
Speech(987, 993, Positive, Nice to meet you!, null, 428)
Speech(987, 993, Positive, This is fun!, null, 428)
Speech(993, 987, Positive, This is fun!, null, 455)
Speech(993, 987, Positive, This is fun!, null, 458)
Speech(989, 991, Positive, This is fun!, null, 460)
Speech(995, 991, Positive, This is fun!, null, 469)
Speech(989, 991, Negative, Not so fun ..., null, 475)
Speech(989, 995, Positive, This is fun!, null, 483)
Speech(989, 991, Positive, This is fun!, null, 498)
Speech(991, 987, Positive, Nice to meet you!, null, 535)
Speech(991, 987, Positive, This is fun!, null, 535)
Speech(995, 991, Positive, This is fun!, null, 541)
Speech(989, 991, Negative, Not so fun ..., null, 563)
Speech(987, 989, Positive, Nice to meet you!, null, 577)
Speech(987, 989, Positive, This is fun!, null, 577)
Speech(989, 991, Positive, This is fun!, null, 588)
Speech(995, 987, Positive, This is fun!, null, 592)
Speech(995, 989, Negative, Not so fun ..., null, 609)
Speech(991, 989, Positive, This is fun!, null, 616)
Speech(987, 995, Positive, This is fun!, null, 631)
Speech(989, 995, Positive, This is fun!, null, 633)
Speech(989, 995, Negative, Not so fun ..., null, 640)
Speech(989, 987, Positive, This is fun!, null, 651)
Speech(995, 987, Positive, This is fun!, null, 657)
Speech(991, 989, Positive, This is fun!, null, 660)
Speech(987, 989, Negative, Not so fun ..., null, 665)
Speech(991, 989, Positive, This is fun!, null, 670)
Speech(987, 989, Positive, This is fun!, null, 676)
Speech(995, 989, Positive, This is fun!, null, 676)
Speech(989, 987, Positive, This is fun!, null, 679)
Speech(989, 991, Positive, This is fun!, null, 706)
Speech(995, 989, Negative, Not so fun ..., null, 710)
Speech(989, 991, Positive, This is fun!, null, 738)
Speech(989, 991, Proposal, Will you come to the prom with me!, null, 738)
Speech(991, 989, Accept, Yes 989! I'd love to go to the Prom with you!, null, 738)
Speech(987, 989, Positive, This is fun!, null, 746)
Speech(991, 987, Positive, This is fun!, null, 748)
Speech(989, 987, Positive, This is fun!, null, 756)
Speech(987, 991, Positive, This is fun!, null, 775)
Speech(989, 991, Positive, This is fun!, null, 790)
Speech(987, 989, Positive, This is fun!, null, 798)
Speech(989, 987, Positive, This is fun!, null, 832)
Speech(987, 995, Positive, This is fun!, null, 849)
Speech(993, 987, Negative, Not so fun ..., null, 857)
Speech(989, 995, Negative, Not so fun ..., null, 858)
Speech(991, 993, Negative, Not so fun ..., null, 871)
Speech(991, 987, Positive, This is fun!, null, 902)
Speech(987, 995, Positive, This is fun!, null, 992)
Speech(993, 987, Negative, Not so fun ..., null, 1072)
Speech(987, 989, Negative, Not so fun ..., null, 1076)
Speech(989, 993, Positive, This is fun!, null, 1180)
Speech(987, 995, Negative, Not so fun ..., null, 1189)
Speech(987, 995, Positive, This is fun!, null, 1192)
Speech(987, 995, Negative, Not so fun ..., null, 1205)
Speech(995, 987, Positive, This is fun!, null, 1282)
Speech(989, 991, Positive, This is fun!, null, 1293)
Speech(991, 989, Negative, Not so fun ..., null, 1299)
Speech(995, 987, Positive, This is fun!, null, 1305)
Speech(991, 989, Positive, This is fun!, null, 1312)
Speech(989, 991, Negative, Not so fun ..., null, 1316)
Speech(989, 993, Positive, This is fun!, null, 1318)
Speech(987, 995, Negative, Not so fun ..., null, 1322)
Speech(993, 991, Negative, Not so fun ..., null, 1360)
Speech(991, 993, Positive, This is fun!, null, 1364)
Speech(993, 989, Negative, Not so fun ..., null, 1367)
Speech(989, 991, Positive, This is fun!, null, 1402)
Speech(991, 993, Negative, Not so fun ..., null, 1406)
Speech(989, 993, Positive, This is fun!, null, 1416)
Speech(989, 991, Negative, Not so fun ..., null, 1417)
Speech(987, 995, Negative, Not so fun ..., null, 1432)
Speech(993, 989, Positive, This is fun!, null, 1441)
Speech(995, 987, Negative, Not so fun ..., null, 1456)
Speech(989, 993, Positive, This is fun!, null, 1464)
Speech(991, 989, Negative, Not so fun ..., null, 1475)
Speech(993, 987, Positive, This is fun!, null, 1558)
Speech(987, 993, Negative, Not so fun ..., null, 1597)
Speech(989, 995, Negative, Not so fun ..., null, 1601)
Speech(989, 991, Negative, Not so fun ..., null, 1629)
Speech(995, 991, Positive, This is fun!, null, 1636)
Speech(995, 991, Positive, This is fun!, null, 1645)
Speech(993, 987, Positive, This is fun!, null, 1654)
Speech(991, 989, Positive, This is fun!, null, 1692)
Speech(989, 991, Positive, This is fun!, null, 1694)
Speech(995, 989, Negative, Not so fun ..., null, 1791)
Speech(991, 987, Positive, This is fun!, null, 1838)
Speech(987, 991, Positive, This is fun!, null, 1849)
Speech(987, 995, Positive, This is fun!, null, 1853)
Speech(989, 987, Positive, This is fun!, null, 1878)
Speech(989, 991, Negative, Not so fun ..., null, 1880)
Speech(995, 991, Positive, This is fun!, null, 1880)
Speech(989, 995, Positive, This is fun!, null, 1887)
Speech(991, 995, Positive, This is fun!, null, 1893)
Speech(987, 989, Negative, Not so fun ..., null, 1894)
Speech(989, 995, Positive, This is fun!, null, 1919)
Speech(989, 991, Positive, This is fun!, null, 1962)
Speech(991, 987, Positive, This is fun!, null, 1990)
Speech(995, 989, Negative, Not so fun ..., null, 2001)
Speech(995, 991, Positive, This is fun!, null, 2031)
Speech(991, 995, Positive, This is fun!, null, 2044)
Speech(989, 991, Positive, This is fun!, null, 2048)
Speech(995, 991, Positive, This is fun!, null, 2091)
Speech(989, 995, Positive, This is fun!, null, 2097)
Speech(993, 987, Positive, This is fun!, null, 2150)
Speech(995, 989, Positive, This is fun!, null, 2159)
