AILI(sub, obj, type, content, context, time)
Thought(987, 991, Positive, I think I like 991, null, 0)
Thought(989, 995, Positive, I think I like 995, null, 0)
Thought(991, 993, Positive, I think I like 993, null, 0)
Thought(993, 987, Positive, I think I like 987, null, 0)
Thought(995, 987, Positive, I think I like 987, null, 0)
Speech(989, 995, Positive, Nice to meet you!, null, 69)
Speech(989, 995, Negative, Not so fun ..., null, 69)
Speech(995, 989, Positive, This is fun!, null, 113)
Speech(989, 995, Positive, This is fun!, null, 129)
Speech(993, 991, Positive, Nice to meet you!, null, 139)
Speech(993, 991, Positive, This is fun!, null, 139)
Speech(991, 993, Positive, This is fun!, null, 268)
Speech(991, 995, Positive, Nice to meet you!, null, 269)
Speech(991, 995, Positive, This is fun!, null, 269)
Speech(995, 993, Positive, Nice to meet you!, null, 270)
Speech(995, 993, Positive, This is fun!, null, 270)
Speech(995, 993, Negative, Not so fun ..., null, 274)
Speech(987, 989, Positive, Nice to meet you!, null, 288)
Speech(987, 989, Negative, Not so fun ..., null, 288)
Speech(991, 995, Positive, This is fun!, null, 297)
Speech(993, 995, Positive, This is fun!, null, 313)
Speech(991, 995, Positive, This is fun!, null, 320)
Speech(989, 987, Positive, This is fun!, null, 338)
Speech(993, 995, Negative, Not so fun ..., null, 357)
Speech(991, 995, Positive, This is fun!, null, 398)
Speech(993, 991, Positive, This is fun!, null, 411)
Speech(995, 993, Positive, This is fun!, null, 436)
Speech(991, 995, Negative, Not so fun ..., null, 454)
Speech(993, 995, Positive, This is fun!, null, 471)
Speech(993, 991, Positive, This is fun!, null, 532)
Speech(989, 991, Positive, Nice to meet you!, null, 572)
Speech(989, 991, Positive, This is fun!, null, 572)
Speech(993, 991, Negative, Not so fun ..., null, 589)
Speech(993, 991, Negative, Not so fun ..., null, 593)
Speech(987, 995, Positive, Nice to meet you!, null, 595)
Speech(987, 995, Positive, This is fun!, null, 595)
Speech(989, 987, Positive, This is fun!, null, 601)
Speech(991, 995, Negative, Not so fun ..., null, 615)
Speech(995, 989, Negative, Not so fun ..., null, 646)
Speech(995, 987, Positive, This is fun!, null, 646)
Speech(995, 989, Negative, Not so fun ..., null, 654)
Speech(991, 989, Negative, Not so fun ..., null, 660)
Speech(991, 989, Positive, This is fun!, null, 688)
Speech(989, 995, Positive, This is fun!, null, 698)
Speech(991, 995, Positive, This is fun!, null, 707)
Speech(995, 989, Positive, This is fun!, null, 725)
Speech(991, 987, Positive, Nice to meet you!, null, 766)
Speech(991, 987, Positive, This is fun!, null, 766)
Speech(991, 995, Positive, This is fun!, null, 767)
Speech(987, 989, Positive, This is fun!, null, 778)
Speech(989, 987, Positive, This is fun!, null, 798)
Speech(995, 987, Positive, This is fun!, null, 810)
Speech(995, 987, Positive, This is fun!, null, 839)
Speech(989, 995, Positive, This is fun!, null, 874)
Speech(989, 993, Positive, Nice to meet you!, null, 884)
Speech(989, 993, Positive, This is fun!, null, 884)
Speech(987, 993, Positive, Nice to meet you!, null, 911)
Speech(987, 993, Positive, This is fun!, null, 911)
Speech(993, 987, Negative, Not so fun ..., null, 917)
Speech(989, 993, Positive, This is fun!, null, 918)
Speech(993, 995, Negative, Not so fun ..., null, 949)
Speech(993, 987, Positive, This is fun!, null, 962)
Speech(987, 989, Positive, This is fun!, null, 972)
Speech(995, 987, Positive, This is fun!, null, 1014)
Speech(987, 993, Positive, This is fun!, null, 1018)
Speech(989, 995, Positive, This is fun!, null, 1018)
Speech(995, 993, Negative, Not so fun ..., null, 1020)
Speech(993, 989, Positive, This is fun!, null, 1073)
Speech(993, 987, Positive, This is fun!, null, 1079)
Speech(995, 987, Negative, Not so fun ..., null, 1081)
Speech(991, 993, Positive, This is fun!, null, 1183)
Speech(989, 995, Positive, This is fun!, null, 1204)
Speech(995, 989, Positive, This is fun!, null, 1209)
Speech(991, 993, Positive, This is fun!, null, 1218)
Speech(993, 991, Positive, This is fun!, null, 1283)
Speech(995, 989, Negative, Not so fun ..., null, 1312)
Speech(989, 995, Positive, This is fun!, null, 1340)
Speech(991, 993, Negative, Not so fun ..., null, 1353)
Speech(995, 989, Positive, This is fun!, null, 1440)
Speech(995, 989, Proposal, Will you come to the prom with me!, null, 1440)
Speech(989, 995, Accept, Yes 995! I'd love to go to the Prom with you!, null, 1440)
Speech(995, 989, Positive, This is fun!, null, 1486)
Speech(991, 993, Positive, This is fun!, null, 1488)
Speech(991, 995, Negative, Not so fun ..., null, 1581)
Speech(995, 991, Positive, This is fun!, null, 1588)
Speech(995, 991, Positive, This is fun!, null, 1594)
Speech(991, 993, Positive, This is fun!, null, 1595)
Speech(991, 993, Proposal, Will you come to the prom with me!, null, 1595)
Thought(993, 991, Conflict, Should I go to the Prom with 991? I really want to go with 987, null, 1595)
Speech(993, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 1595)
Speech(993, 991, Negative, Not so fun ..., null, 1629)
Speech(991, 993, Negative, Not so fun ..., null, 1635)
Speech(989, 987, Positive, This is fun!, null, 1652)
Speech(993, 995, Positive, This is fun!, null, 1673)
Speech(987, 989, Positive, This is fun!, null, 1743)
Speech(989, 987, Positive, This is fun!, null, 1749)
Speech(991, 995, Positive, This is fun!, null, 1760)
Speech(995, 991, Positive, This is fun!, null, 1765)
